Gene	SRR18584972	SRR18584974	SRR18584975	SRR18584976	SRR18584977	SRR18584978	SRR18584979	SRR18584980	SRR18584981	SRR18584982	SRR18584983	SRR18585056	SRR18585057	SRR18585058	SRR18585059	SRR18585061	SRR18585062	SRR18585063	SRR18585064	SRR18585065	SRR18585076	SRR18585077	SRR18585078	SRR18585079	SRR18585105	SRR18585106	SRR18585107	SRR18585109	SRR18585110	SRR18585111	SRR18585112	SRR18585113	SRR18585114	SRR18585115	SRR18585128	SRR18585129	SRR18585131	SRR18585132	SRR18585133	SRR18585134	SRR18585135	SRR18585136	SRR18585137	SRR18585138	SRR18585139	SRR18585140	SRR18585142	SRR18585143	SRR18585144	SRR18585177	SRR18585178	SRR18585179	SRR18585180	SRR18585181	SRR18585182	SRR18585183	SRR18585184	SRR18585212	SRR18585213	SRR18585214	SRR18585215	SRR18585216	SRR18585218	SRR18585219	SRR18585220	SRR18585221	SRR18585222	SRR18585223	SRR18585254	SRR18585256	SRR18585257	SRR18585258	SRR18585259	SRR18585260	SRR18585261	SRR18585272	SRR18585273	
UniRef90_A0A015Q4W3	0	0	0	0.0917084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24383	0	0	0	0	0	0	0	0	0.734028	1.97452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03652	1.81276	2.2086	5.33803	2.00922	1.23639	1.89196	0	0
UniRef90_A0A015TR87	0	0	0	1.3606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728026	0	0	0	0	0	0.183815	0	0	0	2.06573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78824	1.47276	0.548038	0.277652	2.05632	1.30201	1.2495	0	0
UniRef90_A0A017NEQ8	0	0	0	2.0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A017NER4	0	0	0	0.910722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A088F5L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85094	1.84961	2.58753	0	4.1427	2.50199	3.88869	0	0
UniRef90_A0A088F5Q4	0	0	0	0.0691281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90331	0	0	0	0	0	0	0	0	2.28603	4.3963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9676	2.91057	0.965648	4.86324	2.65001	2.48261	3.31463	0	0
UniRef90_A0A088F6M7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70357	1.07395	0.881314	0.360398	2.29746	1.24225	2.36023	0	0
UniRef90_A0A088F9B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11792	1.94609	1.1177	0.321603	3.57409	1.84002	3.94687	0	0
UniRef90_A0A095Y9N4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.63914	0	0	0.605199	0	0	0	1.21693	0	3.23102	0.757172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.9719	15.925	5.371	2.62315	27.3975	22.2377	34.1713	0	0
UniRef90_A0A095ZEA6	0	0	0	1.12728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.882	0	0	0	0	0	6.344	2.51726	0	2.16618	0.693684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.6101	23.3316	15.4823	4.97744	29.2916	30.3478	34.4869	0	0
