Gene	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
UniRef90_A0A015Q4W3	10.9685	0	17.1068	31.4839	27.8089	41.2955	30.0908	25.9028	35.2422	32.8227	26.1861	20.1604	28.2465	34.0619	18.2147	0	0	0	12.097	27.8229	21.0605	30.7976	33.3905	37.4067	36.8362	35.9439	18.7549	13.4229	21.1366	23.5597	29.3463	0	0	0	0	0	0	57.9528	59.9791	20.7647	56.9255	51.1496	58.0148	66.7529	0	15.4481	29.9293	0	0	0	0	0	0	15.7429	24.9707	25.7983	22.9941	26.4063	24.88	32.6186	26.6038	30.7398	14.3407	6.99967	23.5687	28.0381	12.3633	0	0	0
UniRef90_A0A015TR87	0	0	15.1106	6.45661	5.40972	13.0381	6.13395	4.15922	5.1404	5.29534	0	0	0	6.98882	7.21334	0	0	0	7.54021	0	6.37977	13.4377	13.7952	13.4273	14.7719	11.5461	2.68901	1.61539	0	6.32927	6.33788	0	0	0	0	0	0	0.426729	0.403797	5.25312	0.660869	0.599724	0.690895	0.520236	0	6.72647	0	0	0	0	0	0	0	0	8.47533	5.81357	12.9208	6.73284	3.81142	5.81424	6.11686	0	0	3.17334	0	0	3.91142	0	0	0
UniRef90_A0A017NEQ8	0	0	0	0.221907	0.186635	0.178868	0.135307	0.106294	0.133946	0.101384	0	0	0	0	0	0	0	0	0	0	0	0.48765	0.630115	0.690969	0.425599	0.69251	0.814636	0.721767	0	0	0	0	0	0	0	0	0	0.266391	0.200817	0.446979	0.292357	0.238763	0.354335	0.155249	0	0	0	0	0	0	0	0	0	0	0.189411	0.294923	0.157844	0.270053	0.293906	0.199825	0.192175	0	0	0	0	0	0	0	0	0
UniRef90_A0A017NER4	0	0	0	0.238129	0.078405	0.207875	0.0763491	0.057964	0.179568	0.138597	0	0	0	0	0	0	0	0	0	0	0	0.465199	0.525242	0.828609	0.480103	0.625202	1.11493	0.845601	0	0	0	0	0	0	0	0	0	0.150418	0.14866	0.496914	0.25465	0.311972	0.24063	0.226707	0	0	0	0	0	0	0	0	0	0	0.129535	0.181958	0.124097	0.190271	0.18244	0.311764	0.193931	0	0	0	0	0	0	0	0	0
UniRef90_A0A088F5L3	0	0	0	3.20912	2.80365	2.34229	3.57386	3.93289	5.67957	4.61227	0	0	0	6.32195	0	0	0	0	0	0	0	3.08802	1.76399	2.98409	2.08128	3.20193	5.05062	4.12845	0	5.08301	0	0	0	0	0	0	0	0.18197	0.150384	0.272513	0.306208	0.302054	0.22797	0.239678	0	0	0	0	0	0	0	0	0	0	1.08554	0.780154	0.415565	1.04171	1.06988	0.987194	1.01681	0	0	0	3.21534	0	0	0	0	0
UniRef90_A0A088F5Q4	0	0	27.1409	27.9395	24.7027	37.328	27.5553	22.7661	30.993	29.7159	30.3872	24.692	30.6322	27.3431	22.6428	0	0	0	0	16.2699	18.4593	28.8626	30.2765	33.8575	32.6361	32.1522	16.4062	12.4763	18.7539	21.474	17.6935	0	0	0	0	0	0	52.3301	54.0431	18.9406	50.8546	45.0569	51.606	59.1416	0	14.2813	37.4097	0	0	0	0	0	0	13.6664	23.462	23.3264	20.5813	23.9418	21.7813	29.8135	24.0202	17.8272	14.3448	8.89505	25.1598	22.9195	13.3866	0	0	0
UniRef90_A0A088F6M7	0	0	0	1.77845	1.98873	1.08913	1.96834	1.90952	2.89461	2.3134	1.66522	0	0	1.27092	2.5501	0	0	0	0	0	0	1.84075	1.07749	2.03496	1.46157	1.86929	2.88452	2.53606	0	1.95197	0	0	0	0	0	0	0	1.96379	1.76651	0.240863	1.62169	1.22651	1.35018	2.11084	0	0.236722	0	0	0	0	0	0	0	0	0.638739	0.668799	0.416353	0.665145	0.792173	0.747334	0.841347	0.919998	1.2707	0	1.97559	0	0.50401	0	0	0
UniRef90_A0A088F9B3	0	0	0	3.48312	3.05047	1.98196	3.86225	3.7035	4.68571	4.57248	4.39488	0.485846	0	3.32211	3.67202	0	0	0	0	0	6.53518	4.54811	2.60692	4.01685	3.74982	4.20219	4.3972	4.60172	3.19584	1.405	5.5249	0	0	0	0	0	0	0.327962	0.370314	0.368725	0.226481	0.292924	0.23957	0.428073	0	0	0	0	0	0	0	0	0	12.8115	1.72758	1.53511	1.03737	1.32609	1.13887	1.7274	1.63821	0	1.82925	0	0	0	2.35806	0	0	0
UniRef90_A0A095Y9N4	0	0	0	8.2215	5.2189	6.33522	5.68953	7.21878	7.32191	8.09759	9.2512	0	6.48254	5.53053	5.36662	0	0	0	0	0	0	12.4795	8.6247	9.96114	11.8328	8.86207	1.14288	0.330276	4.31924	5.87917	6.46668	0	0	0	0	0	0	0.355848	0.807462	7.73004	0.738687	0.992341	1.13931	0.278115	0	6.49356	0	0	0	0	0	0	0	0	7.80126	4.4723	9.94289	4.90355	3.15272	4.91632	4.99802	4.63946	4.20382	0	0	6.77352	2.11937	0	0	0
UniRef90_A0A095ZEA6	2.23355	0	15.4437	17.1947	12.794	18.146	14.2073	17.3972	17.0573	18.7965	13.1366	1.36928	19.1962	11.5495	12.491	0	0	0	6.194	0	0	29.5032	22.072	24.1216	26.7293	22.7037	2.71193	0.562406	8.3701	11.8755	16.8809	0	0	0	0	0	0	0.622645	0.69262	13.1091	0.864983	0.996556	1.07684	0.715327	0	15.6641	0	0	0	0	6.21812	0	0	8.69027	18.959	14.5888	23.7983	14.6876	9.55421	14.7718	13.2417	5.93771	9.44325	5.08962	6.67946	18.1492	8.34174	0	0	0
UniRef90_A0A096A1F9	0	0	0	0.626155	0.627101	1.65189	0.59283	0.37397	0.472146	0.59868	0	0	0	0	0	0	0	0	0	0	0	1.39974	0.960752	1.48793	1.32923	1.35617	0.159706	0	0	0	0	0	0	0	0	0	0	0	0.018093	0.31127	0.0484751	0.0871718	0.10342	0.0714383	0	0.401723	0	0	0	0	0	0	0	0	0.272493	0.305751	0.314045	0.335196	0.211429	0.285227	0.273114	0	0	0	0	0	0	0	0	0
UniRef90_A0A096A8X5	0	0	0	0.821844	0.484995	0.406118	0.676927	0.924487	0.627903	0.928671	1.24833	0	0	3.70804	1.4351	0	0	0	0	0	0	0.429912	0.305504	0.180141	0.38741	0.255733	0.0498919	0	0	0	0	0	0	0	0	0	0	0	0	0.227038	0.05377	0.082782	0.0603914	0.0466423	0	0.346493	0	0	0	0	0	0	0	0	1.29232	0.793975	1.15369	0.877307	0.383975	0.90084	0.764666	2.60545	2.85773	0	0	0	0	0	0	0
UniRef90_A0A096BB56	0	0	28.9922	28.9829	28.2656	32.9446	28.9842	27.3417	34.3986	34.2188	25.9756	2.87899	24.1108	30.8629	21.0687	0	0	0	0	15.5277	20.2199	37.706	29.8041	39.6061	38.3589	36.0021	16.5209	15.7569	21.7746	15.3915	27.9672	0	0	0	0	0	6.86314	7.34471	10.5076	20.2739	10.7289	9.56113	8.53842	10.9274	0	25.1467	0	0	0	0	14.6721	0	0	12.6645	13.552	10.7589	10.904	10.7407	8.49635	10.809	9.20468	16.7579	19.8107	6.42032	25.2363	28.5318	9.66919	0	0	0
UniRef90_A0A098YRF1	0	0	0	0.312863	0.237105	0.285574	0.166165	0.296576	0.321495	0.305021	0	0	0	0	0	0	0	0	0	0	0	3.1173	1.74959	3.036	2.71838	2.65162	0.357322	0	0	0	0	0	0	0	0	0	0	0	0.112013	0.429129	0.0895637	0	0.136799	0.116568	0	0.833131	0	0	0	0	0	0	0	0	0.165831	0.144959	0	0	0.13361	0.140828	0.117352	0	0	0	0	0	0	0	0	0
UniRef90_A0A099BYD4	0	0	10.8038	13.1253	10.1388	16.2092	10.3546	12.5474	12.3216	13.3867	19.9959	0	15.9255	15.0012	16.6622	0	0	0	0	0	0	28.3078	21.3685	22.1192	25.1933	21.7664	2.30959	0.52889	13.4708	8.74368	10.8207	0	0	0	0	0	0	0.0868228	0.362053	5.38935	0.322877	0.226172	0.456673	0.296338	0	6.12046	0	0	0	0	0	0	0	9.14207	16.3054	13.4391	23.3738	14.7528	9.87259	12.8502	13.1308	6.15106	3.96809	0	0	7.71173	0	0	0	0
UniRef90_A0A0A2FIN6	0	0	0	0	0	0.0554535	0	0	0	0.0626169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A0A2FLD4	0	0	0	0.0462231	0	0	0.0515138	0	0	0.118408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UniRef90_A0A0B5G326	0	0	0	2.09012	3.53131	2.21506	2.19314	3.76245	2.49276	2.47619	2.18264	2.75167	10.4921	5.27343	0	0	0	0	0	0	0	4.24305	2.17911	3.6731	4.11112	3.99843	1.76801	2.41771	0	2.65098	7.83211	0	0	0	0	0	0	2.38896	2.91169	3.25207	3.30602	3.21224	4.01846	4.81419	0	5.13149	0	0	0	0	0	0	0	8.06592	7.01667	4.94162	7.03354	3.5568	2.48716	5.50696	4.37675	0	0	0	0	5.33683	2.73113	0	0	0
UniRef90_A0A0D0HCE0	0	0	0	6.52641	6.54722	7.10732	7.15611	6.95918	8.0219	7.60314	6.38126	0	8.31175	6.70185	11.6355	0	0	0	0	0	0	3.33436	1.90823	3.0831	3.98116	2.97435	0.342601	0.057043	0	0	0	0	0	0	0	0	0	0.0504048	0.143964	0.584739	0.110215	0.193898	0.179098	0.168394	0	0	0	0	0	0	0	0	0	0	5.08	3.88479	5.41099	3.71969	2.05488	3.06169	3.33574	3.43212	5.45539	2.02647	0	8.82139	1.70495	0	0	0
UniRef90_A0A0D0I300	18.2871	0	0	26.9662	22.0783	23.7927	23.4921	31.3191	29.6563	28.8407	21.4946	0	16.1013	19.446	25.3278	0	0	0	7.05598	0	0	15.211	11.7279	12.4425	14.1005	12.5525	1.25855	0.586056	7.3276	6.80482	10.0028	0	0	0	0	0	0	0.908145	1.07236	19.1203	1.32185	1.48273	2.27189	0.847787	0	21.0765	0	0	0	0	0	0	0	6.36161	15.4933	7.79513	22.3536	9.16682	4.1948	8.23814	9.12392	19.5855	17.9565	5.52562	18.2352	16.5118	8.8393	0	0	0
UniRef90_A0A0D0ISJ7	0	0	1.88612	4.09212	2.92826	5.58735	3.86815	3.03391	2.94269	3.78009	8.74416	1.77931	11.8828	3.41241	0.841063	0	0	0	8.06002	0	0	7.56302	6.63376	8.55923	8.15322	8.08625	1.52338	0.342766	11.7022	2.0582	4.13807	0	0	0	0	0	0	0.294691	0.412125	3.4113	0.627342	0.842156	0.664982	0.610577	0	3.32706	0	0	0	0	0	0	0	2.6093	2.5701	1.2953	3.58588	2.1034	1.05328	1.80679	1.49401	0	6.67561	3.1626	3.83711	7.38178	2.32451	0	0	0
UniRef90_A0A0E9E6I2	0	0	17.1083	19.1028	13.3361	15.562	12.8067	17.8622	17.7699	19.9055	15.5725	0	17.2581	15.6208	16.1666	0	0	0	0	0	0	31.3858	21.888	20.3517	27.2049	21.7804	2.57124	0.510219	18.3994	7.51106	16.2807	0	0	0	0	0	0	0.886329	1.33419	16.4391	1.60612	1.63678	2.18773	0.85175	0	19.4959	0	0	0	0	0	0	0	0	19.6831	13.4414	28.831	14.8215	9.28802	14.8687	14.1377	5.5402	9.44941	3.14951	7.3593	19.4485	9.39613	0	0	0
UniRef90_A0A0E9E7B6	0	0	23.0106	17.0226	11.2876	13.6871	13.3211	16.4091	17.673	17.6593	31.902	4.34152	11.9177	23.331	20.4198	0	0	0	19.6664	0	5.84296	28.4848	21.0362	21.8507	28.7394	22.7765	2.36756	0.354988	0	3.76651	12.0499	0	0	0	0	0	0	0.659096	0.967865	12.2117	1.04309	1.80335	1.44965	0.800382	0	10.4044	0	0	0	0	14.8842	0	0	0	24.6571	19.5285	33.8821	18.771	13.4544	17.6226	16.8902	8.8315	8.17311	5.80949	12.707	15.6949	12.9639	0	0	0
UniRef90_A0A0E9E7C0	0	0	12.5971	21.2289	12.0781	15.5561	15.0706	20.4396	18.3825	20.2811	30.888	0	32.2127	11.0769	18.7244	0	0	0	0	0	15.9935	35.6759	24.1309	25.6179	30.9163	28.2748	2.76206	0.617839	13.0283	14.6588	13.1615	0	0	0	0	0	7.55446	0.671064	0.721617	13.0361	0.719302	1.53608	2.13088	0.936183	0	15.4506	0	0	0	0	0	0	0	8.71355	30.5033	21.1003	38.0004	22.3336	15.8471	21.8208	20.2706	12.238	12.2434	9.68616	17.391	23.8669	4.40238	0	0	0
UniRef90_A0A0E9EE84	0	0	17.3946	16.6191	11.5842	14.4481	11.9606	16.6333	15.0391	17.0229	17.3049	0	0	14.7109	18.766	0	0	0	0	0	6.17015	23.1186	17.8976	19.6297	24.3727	17.9944	2.0145	0.548393	12.1995	9.4328	19.9801	0	0	0	0	0	0	0.129436	0	4.53822	0.295243	0.368997	0.49747	0.198126	0	3.92461	0	0	0	0	0	0	0	0	22.8333	17.3494	31.5877	17.428	12.582	15.4062	14.4496	0	6.61969	3.12047	11.7589	21.1864	4.34861	0	0	0
