Phylum	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
Halobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47E-05	3.46E-05	7.14E-05	3.86E-05	6.45E-05	8.30E-05	6.95E-05	0	0	0	0	0	0	0	0	0	2.56E-05	2.49E-05	0	2.30E-05	3.07E-05	2.87E-05	1.46E-05	0	0	0	0	0	0	0	0	0	0	1.99E-05	1.77E-05	0	1.82E-05	2.12E-05	2.88E-05	2.74E-05	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.44E-05	0	0	0.00057365	0.00045061	0	0	0	0	0	0	0	0	0	0.000177948	0	0	0	0	5.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00081306	0	0	0	0	0	0	0	0	0	0	0	0.011825907	0	0	0	0.007379399	0	0	0	0	0	0	0	0	0	0	0.003583704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001021413	0.001169606	0.00039832	0.000619728	0.001110635	0.003115799	0.009668314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195549	0	0	0.000314225	0.000468401	0.000240067	0.000206643	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009490721	0.001580179	0	0.00030232	0.002904936	0.003069209	0.001062176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000185138	0.000252731	0	0	0.000253475	0.0004584	0.001264299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmatota	0	0	0.004166929	0.000381119	0.000588056	8.94E-05	0.000544067	0.000273554	0.000445819	0.000512928	0	0	0	0	0.000799411	0	0	0	0	0	0.009577247	0.001729535	0.001982653	0.003212954	0.001966828	0.003490689	0.011359148	0.009417957	0	0	0.001460468	0.001333499	0.004786853	0	0	0	0.006141431	0.000419635	0.000170434	0	0.000161218	0.000111838	7.18E-05	4.73E-05	0	0	0	0	0	0	0	0	0	0.009894524	0.000633857	0.003181202	8.25E-05	0.001753716	0.003712873	0.00181263	0.001873861	0	0	0	0.000196272	0.000333524	0.000697976	0	0.000217647	0
Thermoplasmatota	0	0	0.002460593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002640605	0.001718383	0.001996845	0.002611984	0.00184692	0.002828323	0.002893438	0.002086784	0	0	0.001437357	0.000939509	0.002225131	0	0	0	0.001320303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003222231	0	0	0	0	0	6.67E-06	7.97E-06	0	0	0	0	0	0	0	0	0
