name	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm
Acidobacteriota	0.00039	0.0007	0.00076	0.00061	0.00074	0.00058	0.00074	0.00058	0.00068	0.00064	0.00025	0.00048	0.00064	0.00055	0.00069	0.00066	0.00069	0.00019	0.00051	0.0007	0.00128	0.00044	0.00051	0.00059	0.00052	0.00072	0.00157	0.00193	0.00037	0.00048	0.00037	0.00047	0.00065	0.00037	0.00068	0.00049	0.00061	0.00232	0.00135	0.00042	0.00127	0.00127	0.00119	0.00135	0.00048	0.00026	0.00114	0.00042	0.00072	0.00033	0.00042	0.00096	0.00079	0.00142	0.00079	0.00065	0.00033	0.00063	0.0009	0.00082	0.0007	0.00022	0.00015	0.00034	0.00027	0.00016	0.00067	0.00056	0.00022
Actinomycetota	0.01921	0.03922	0.01849	0.021	0.01946	0.02093	0.02033	0.01579	0.01717	0.01905	0.05933	0.07729	0.02613	0.03257	0.02156	0.01966	0.01823	0.01649	0.01479	0.04532	0.04011	0.01439	0.02454	0.01568	0.01313	0.01863	0.03956	0.04831	0.01177	0.02494	0.03062	0.02295	0.02624	0.08139	0.01688	0.01297	0.01986	0.03609	0.0359	0.01202	0.03353	0.03332	0.0318	0.03873	0.12666	0.03381	0.03507	0.01436	0.02943	0.02653	0.04338	0.03704	0.02747	0.03705	0.01099	0.01479	0.00828	0.01623	0.01858	0.01675	0.01721	0.01639	0.0133	0.01241	0.00984	0.00488	0.017	0.01766	0.01111
Bacillota	0.15108	0.19453	0.25132	0.28375	0.2726	0.27121	0.30179	0.26004	0.27065	0.27271	0.25842	0.32575	0.25388	0.23513	0.26537	0.28331	0.25952	0.12155	0.17147	0.31807	0.48473	0.2551	0.34752	0.2378	0.22587	0.27157	0.55479	0.57682	0.17001	0.19469	0.53668	0.37873	0.43764	0.31756	0.1996	0.13987	0.18175	0.41867	0.43232	0.32583	0.43321	0.44334	0.45005	0.51756	0.38513	0.3913	0.07144	0.28995	0.24797	0.07242	0.2653	0.27998	0.15777	0.48231	0.19103	0.21899	0.18213	0.28575	0.29248	0.23781	0.26483	0.73734	0.75363	0.69688	0.73386	0.81796	0.28736	0.3357	0.78043
Bacteroidota	0.23526	0.18707	0.54688	0.52043	0.43513	0.50202	0.4581	0.51972	0.52397	0.50937	0.30201	0.11154	0.51068	0.35653	0.47119	0.46724	0.48414	0.49687	0.15132	0.29919	0.25265	0.61466	0.49018	0.59732	0.62025	0.5666	0.18996	0.13761	0.29519	0.3522	0.27089	0.32861	0.40382	0.30853	0.17894	0.1198	0.03823	0.15357	0.17822	0.546	0.19056	0.19825	0.20419	0.17847	0.14755	0.05475	0.09701	0.57137	0.13749	0.08984	0.34551	0.18443	0.13979	0.2654	0.63115	0.52277	0.69584	0.50639	0.40987	0.52445	0.4911	0.02493	0.02403	0.18556	0.16956	0.12466	0.47828	0.44782	0.12617
Calditrichota	9e-05	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	2e-05	2e-05	2e-05	0.0	0.0	1e-05	0.0	0.00012	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	2e-05	1e-05	1e-05	0.0	1e-05	5e-05	1e-05	0.0	0.0	0.0	4e-05	4e-05	1e-05	4e-05	4e-05	4e-05	3e-05	1e-05	1e-05	0.0	1e-05	0.00011	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0	0.0	0.0	2e-05	0.0	0.0	1e-05
Campylobacterota	0.00302	0.03769	0.05008	0.04444	0.05064	0.01096	0.0074	0.04042	0.00495	0.00402	0.03048	0.06832	0.00913	0.03282	0.05101	0.04876	0.0492	0.01296	0.00218	0.0155	0.00998	0.00288	0.0422	0.00348	0.00469	0.00743	0.00393	0.06457	0.03674	0.05599	0.0026	0.02997	0.00549	0.00788	0.03478	0.00791	0.00199	0.07001	0.00462	0.00618	0.0042	0.00784	0.00544	0.00728	0.01254	0.00854	0.00251	0.03717	0.00456	0.0024	0.0282	0.03862	0.01164	0.00803	0.00889	0.00824	0.00453	0.00733	0.05419	0.05134	0.00583	0.00767	0.00587	0.00356	0.00301	0.00238	0.00623	0.00681	0.00285
Candidatus Cloacimonadota	0.00011	0.00019	0.00017	0.00016	0.00021	0.00023	0.00019	0.00016	0.00016	0.00015	9e-05	8e-05	0.0002	0.00018	0.00017	0.00017	0.00018	6e-05	8e-05	0.00017	0.00023	0.00011	0.00014	0.00014	0.00011	0.00013	0.00026	0.00029	0.00013	0.0002	0.00016	0.0001	0.00016	0.00014	0.00032	0.00025	9e-05	0.0005	0.00033	0.00015	0.00032	0.00033	0.0003	0.0003	0.00016	0.00015	0.0	0.00014	0.00019	0.0	0.00014	0.00027	0.0	0.0002	0.00015	0.00021	0.0001	0.00018	0.00023	0.00018	0.00019	4e-05	3e-05	8e-05	7e-05	4e-05	0.00014	0.00016	5e-05
Candidatus Saccharibacteria	0.00021	0.00054	0.0004	9e-05	0.00015	0.0002	0.00014	7e-05	8e-05	7e-05	0.00227	0.00338	0.0001	0.00064	0.00011	0.00026	0.00015	0.0009	0.00022	0.00108	0.00031	0.00014	0.00014	0.00021	0.00014	0.0002	0.00031	0.00031	0.00381	0.00391	0.01607	0.00294	0.00947	0.00485	0.00042	0.0003	0.00011	0.00017	0.00013	8e-05	0.00013	0.00012	0.00012	0.00013	0.01312	0.00327	0.0	7e-05	0.00046	0.0	0.0013	0.00178	0.00087	0.00042	7e-05	0.0001	4e-05	8e-05	0.00012	0.0001	9e-05	0.00042	0.00048	0.00033	0.00031	0.00021	0.00013	0.00016	0.00026
Chloroflexota	0.00046	0.00091	0.00095	0.00068	0.00079	0.00069	0.00079	0.00062	0.00072	0.00067	0.00045	0.00078	0.00071	0.00077	0.00081	0.00069	0.00069	0.00058	0.00047	0.00185	0.00187	0.00065	0.0007	0.00084	0.00073	0.00105	0.00199	0.00267	0.00052	0.00333	0.00153	0.0009	0.00153	0.00555	0.00106	0.00073	0.0007	0.00195	0.00182	0.00055	0.00175	0.00175	0.00167	0.00201	0.00677	0.00052	0.00087	0.00049	0.00107	0.00069	0.00098	0.00711	0.00119	0.00183	0.00063	0.00084	0.00041	0.00085	0.00134	0.00119	0.00097	0.00033	0.00028	0.00042	0.00034	0.00021	0.00077	0.00072	0.00028
Cyanobacteriota	0.0032	0.00363	0.00144	0.00154	0.00184	0.00214	0.00168	0.0016	0.00154	0.00145	0.00087	0.07005	0.00173	0.00139	0.00187	0.00187	0.00281	0.00054	0.00098	0.00249	0.00192	0.00099	0.0012	0.0013	0.00108	0.00124	0.00231	0.0025	0.00113	0.00131	0.00147	0.0014	0.00138	0.00129	0.00378	0.00438	0.00087	0.00414	0.00363	0.00171	0.00323	0.00361	0.00294	0.00294	0.00168	0.00144	0.00816	0.00203	0.00227	0.00455	0.00639	0.00288	0.00431	0.00206	0.00152	0.00193	0.00112	0.0017	0.00221	0.00193	0.00186	0.00059	0.00047	0.00096	0.0007	0.0007	0.00154	0.00152	0.00059
